"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"WomanSProfileAndHistory","WomanSProfileAndHistory","","","",0,*,"","","","null {[]} {[]}
","Woman's Profile and History","Woman's Profile and History","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"WomanSProfileAndHistory.cardiacCondition","WomanSProfileAndHistory.cardiacCondition","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC Cardiac condition","ANC - ANC Cardiac condition","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#fuEUJqslhPb
",,,,"WomanSProfileAndHistory.cardiacCondition",0,1,"",""
"WomanSProfileAndHistory.kidneyDiseaseChronicRenalFailure","WomanSProfileAndHistory.kidneyDiseaseChronicRenalFailure","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B6. Kidney disease (Chronic Renal Failure)","ANC - ANC.B6. Kidney disease (Chronic Renal Failure)","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#KPN571DvV4D
",,,,"WomanSProfileAndHistory.kidneyDiseaseChronicRenalFailure",0,1,"",""
"WomanSProfileAndHistory.lnmpDate","WomanSProfileAndHistory.lnmpDate","","","",0,1,"","","","date {[]} {[]}
","ANC - ANC.B6. Last normal menstrual period (LNMP) date","ANC - ANC.B6. Last normal menstrual period (LNMP) date","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#w4ky6EkVahL
",,,,"WomanSProfileAndHistory.lnmpDate",0,1,"",""
"WomanSProfileAndHistory.clinicalEstimationPalpationFundalHeightDate","WomanSProfileAndHistory.clinicalEstimationPalpationFundalHeightDate","","","",0,1,"","","","date {[]} {[]}
","ANC - ANC.B6. Clinical estimation (Palpation/fundal height) date","ANC - ANC.B6. Clinical estimation (Palpation/fundal height) date","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#joirdYETe8d
",,,,"WomanSProfileAndHistory.clinicalEstimationPalpationFundalHeightDate",0,1,"",""
"WomanSProfileAndHistory.malariaMedicationSulfadoxinePyrimethamine","WomanSProfileAndHistory.malariaMedicationSulfadoxinePyrimethamine","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B6. Malaria medication (sulfadoxine-pyrimethamine)","ANC - ANC.B6. Malaria medication (sulfadoxine-pyrimethamine)","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#l7Jh3IoeEIa
",,,,"WomanSProfileAndHistory.malariaMedicationSulfadoxinePyrimethamine",0,1,"",""
"WomanSProfileAndHistory.ancPara","WomanSProfileAndHistory.ancPara","","","",0,1,"","","","unsignedInt {[]} {[]}
","ANC - ANC.B6. Para","ANC - ANC.B6. Para","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#I7dvwZGNgE8
",,,,"WomanSProfileAndHistory.ancPara",0,1,"",""
"WomanSProfileAndHistory.numberOfPregnanciesGravida","WomanSProfileAndHistory.numberOfPregnanciesGravida","","","",0,1,"","","","positiveInt {[]} {[]}
","ANC - ANC.B6. Number of pregnancies (gravida)","ANC - ANC.B6. Number of pregnancies (gravida)","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#PuiTfPfSf86
",,,,"WomanSProfileAndHistory.numberOfPregnanciesGravida",0,1,"",""
"WomanSProfileAndHistory.ancB6UltrasoundGa","WomanSProfileAndHistory.ancB6UltrasoundGa","","","",0,1,"","","","positiveInt {[]} {[]}
","ANC - ANC.B6 Ultrasound GA","ANC - ANC.B6 Ultrasound GA","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#Juv31inY35a
",,,,"WomanSProfileAndHistory.ancB6UltrasoundGa",0,1,"",""
"WomanSProfileAndHistory.noAlcoholAndOrSubstances","WomanSProfileAndHistory.noAlcoholAndOrSubstances","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B6. No alcohol and/or substances","ANC - ANC.B6. No alcohol and/or substances","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#DPZ6kIgtiIA
",,,,"WomanSProfileAndHistory.noAlcoholAndOrSubstances",0,1,"",""
"WomanSProfileAndHistory.noChronicOrPastHealthConditions","WomanSProfileAndHistory.noChronicOrPastHealthConditions","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B6. No chronic or past health conditions","ANC - ANC.B6. No chronic or past health conditions","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#snqxJUEWgkb
",,,,"WomanSProfileAndHistory.noChronicOrPastHealthConditions",0,1,"",""
"WomanSProfileAndHistory.noKnownAllergies","WomanSProfileAndHistory.noKnownAllergies","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B6. No known allergies","ANC - ANC.B6. No known allergies","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#V16g2TRV7MB
",,,,"WomanSProfileAndHistory.noKnownAllergies",0,1,"",""
"WomanSProfileAndHistory.noKnownPastSurgeries","WomanSProfileAndHistory.noKnownPastSurgeries","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B6. No known past surgeries","ANC - ANC.B6. No known past surgeries","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#DSAooZSxopi
",,,,"WomanSProfileAndHistory.noKnownPastSurgeries",0,1,"",""
"WomanSProfileAndHistory.noMedications","WomanSProfileAndHistory.noMedications","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B6. No medications","ANC - ANC.B6. No medications","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#hpXvhGzaVld
",,,,"WomanSProfileAndHistory.noMedications",0,1,"",""
"WomanSProfileAndHistory.noPastPregnancyComplications","WomanSProfileAndHistory.noPastPregnancyComplications","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B6. No past pregnancy complications","ANC - ANC.B6. No past pregnancy complications","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#GWxtXap1Guk
",,,,"WomanSProfileAndHistory.noPastPregnancyComplications",0,1,"",""
"WomanSProfileAndHistory.numberOfCaesareanSections","WomanSProfileAndHistory.numberOfCaesareanSections","","","",0,1,"","","","unsignedInt {[]} {[]}
","ANC - ANC.B6. Number of caesarean sections","ANC - ANC.B6. Number of caesarean sections","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#j3lxVBnaXmy
",,,,"WomanSProfileAndHistory.numberOfCaesareanSections",0,1,"",""
"WomanSProfileAndHistory.numberOfAbortions","WomanSProfileAndHistory.numberOfAbortions","","","",0,1,"","","","unsignedInt {[]} {[]}
","ANC - ANC.B6. Number of abortions","ANC - ANC.B6. Number of abortions","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#p4e5Y0GQIxv
",,,,"WomanSProfileAndHistory.numberOfAbortions",0,1,"",""
"WomanSProfileAndHistory.numberOfStillbirthsFsdAndOrMsd","WomanSProfileAndHistory.numberOfStillbirthsFsdAndOrMsd","","","",0,1,"","","","unsignedInt {[]} {[]}
","ANC - ANC.B6. Number of stillbirths (FSD and/or MSD)","ANC - ANC.B6. Number of stillbirths (FSD and/or MSD)","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#fpPtP8xrU1s
",,,,"WomanSProfileAndHistory.numberOfStillbirthsFsdAndOrMsd",0,1,"",""
"WomanSProfileAndHistory.otherAllergiesSpecify","WomanSProfileAndHistory.otherAllergiesSpecify","","","",0,1,"","","","string {[]} {[]}
","ANC - ANC.B6. Other allergies (specify)","ANC - ANC.B6. Other allergies (specify)","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#vpxAELVdkqn
",,,,"WomanSProfileAndHistory.otherAllergiesSpecify",0,1,"",""
"WomanSProfileAndHistory.otherGynecologicalProceduresSpecify","WomanSProfileAndHistory.otherGynecologicalProceduresSpecify","","","",0,1,"","","","string {[]} {[]}
","ANC - ANC.B6. Other gynecological procedures (specify)","ANC - ANC.B6. Other gynecological procedures (specify)","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#hz94MekJLYe
",,,,"WomanSProfileAndHistory.otherGynecologicalProceduresSpecify",0,1,"",""
"WomanSProfileAndHistory.medicationsSpecify","WomanSProfileAndHistory.medicationsSpecify","","","",0,1,"","","","string {[]} {[]}
","ANC - ANC.B6. Medications (specify)","ANC - ANC.B6. Medications (specify)","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#kyOjlg4co4z
",,,,"WomanSProfileAndHistory.medicationsSpecify",0,1,"",""
"WomanSProfileAndHistory.otherPastPregnancyProblemsSpecify","WomanSProfileAndHistory.otherPastPregnancyProblemsSpecify","","","",0,1,"","","","string {[]} {[]}
","ANC - ANC.B6. Other past pregnancy problems (specify)","ANC - ANC.B6. Other past pregnancy problems (specify)","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#rF7OJIP7fhp
",,,,"WomanSProfileAndHistory.otherPastPregnancyProblemsSpecify",0,1,"",""
"WomanSProfileAndHistory.otherConditionsSpecify","WomanSProfileAndHistory.otherConditionsSpecify","","","",0,1,"","","","string {[]} {[]}
","ANC - ANC.B6. Other (specify)","ANC - ANC.B6. Other (specify)","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#lbmrnYizavt
",,,,"WomanSProfileAndHistory.otherConditionsSpecify",0,1,"",""
"WomanSProfileAndHistory.otherSubstanceUseSpecify","WomanSProfileAndHistory.otherSubstanceUseSpecify","","","",0,1,"","","","string {[]} {[]}
","ANC - ANC.B6. Other substance use (specify)","ANC - ANC.B6. Other substance use (specify)","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#UZ6Re4zVePj
",,,,"WomanSProfileAndHistory.otherSubstanceUseSpecify",0,1,"",""
"WomanSProfileAndHistory.otherSurgeriesSpecify","WomanSProfileAndHistory.otherSurgeriesSpecify","","","",0,1,"","","","string {[]} {[]}
","ANC - ANC.B6. Other surgeries (specify)","ANC - ANC.B6. Other surgeries (specify)","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#S6O8strHi1p
",,,,"WomanSProfileAndHistory.otherSurgeriesSpecify",0,1,"",""
"WomanSProfileAndHistory.preEclampsia","WomanSProfileAndHistory.preEclampsia","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B6. Pre-eclampsia","ANC - ANC.B6. Pre-eclampsia","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#TGcfgzv8mQA
",,,,"WomanSProfileAndHistory.preEclampsia",0,1,"",""
"WomanSProfileAndHistory.sourceOfGestationalAge","WomanSProfileAndHistory.sourceOfGestationalAge","","","",1,1,"","","","code {[]} {[]}
","ANC - ANC.B6. Source of gestational age","ANC - ANC.B6. Source of gestational age","","","","","","","","","",,"required","","https://hispethiopia.org/enable/ValueSet/ANC.B6.SourceOfGestationalAgeVS","https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#RPSgZF1i0hk
",,,,"WomanSProfileAndHistory.sourceOfGestationalAge",1,1,"",""
"WomanSProfileAndHistory.tobaccoUse","WomanSProfileAndHistory.tobaccoUse","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B6. Tobacco use","ANC - ANC.B6. Tobacco use","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#HvfStK1Mfo5
",,,,"WomanSProfileAndHistory.tobaccoUse",0,1,"",""
"WomanSProfileAndHistory.ultrasoundDate","WomanSProfileAndHistory.ultrasoundDate","","","",0,1,"","","","date {[]} {[]}
","ANC - ANC.B6. Ultrasound date","ANC - ANC.B6. Ultrasound date","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#PrDdlt8U65H
",,,,"WomanSProfileAndHistory.ultrasoundDate",0,1,"",""
"WomanSProfileAndHistory.clinicallyEstimatedGestationalAge","WomanSProfileAndHistory.clinicallyEstimatedGestationalAge","","","",0,1,"","","","positiveInt {[]} {[]}
","ANC.B6. Clinically estimated gestational age","ANC.B6. Clinically estimated gestational age","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#YKXci7Sm0Zq
",,,,"WomanSProfileAndHistory.clinicallyEstimatedGestationalAge",0,1,"",""
"WomanSProfileAndHistory.ancHeight","WomanSProfileAndHistory.ancHeight","","","",0,1,"","","","decimal {[]} {[]}
","ANC - ANC.B8. Height","ANC - ANC.B8. Height","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#TcOkQ8Qqmlt
",,,,"WomanSProfileAndHistory.ancHeight",0,1,"",""
"WomanSProfileAndHistory.preGestationalWeight","WomanSProfileAndHistory.preGestationalWeight","","","",0,1,"","","","decimal {[]} {[]}
","ANC - ANC.B8. Pre-gestational weight","ANC - ANC.B8. Pre-gestational weight","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#kFwQfziJLEt
",,,,"WomanSProfileAndHistory.preGestationalWeight",0,1,"",""
"WomanSProfileAndHistory.bmi","WomanSProfileAndHistory.bmi","","","",0,1,"","","","decimal {[]} {[]}
","ANC - ANC.B8. BMI","ANC - ANC.B8. BMI","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#UZnz5QLRvcr
",,,,"WomanSProfileAndHistory.bmi",0,1,"",""
"WomanSProfileAndHistory.weightCategory","WomanSProfileAndHistory.weightCategory","","","",0,1,"","","","code {[]} {[]}
","ANC - ANC.B8. Weight category","ANC - ANC.B8. Weight category","","","","","","","","","",,"required","","https://hispethiopia.org/enable/ValueSet/ANC.B8.WeightCategoryVS","https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#UsYtsHtuvwQ
",,,,"WomanSProfileAndHistory.weightCategory",0,1,"",""
"WomanSProfileAndHistory.reviewAndConfirmComputedBmi","WomanSProfileAndHistory.reviewAndConfirmComputedBmi","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B8a. Review and confirm computed BMI","ANC - ANC.B8a. Review and confirm computed BMI","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#bzupYCgg4m6
",,,,"WomanSProfileAndHistory.reviewAndConfirmComputedBmi",0,1,"",""
"WomanSProfileAndHistory.expectedWeightGain","WomanSProfileAndHistory.expectedWeightGain","","","",0,1,"","","","code {[]} {[]}
","ANC - ANC.B8. Expected weight gain","ANC - ANC.B8. Expected weight gain","","","","","","","","","",,"required","","https://hispethiopia.org/enable/ValueSet/ANC.B8.ExpectedWeightGainVS","https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#ztZwHRN9iPM
",,,,"WomanSProfileAndHistory.expectedWeightGain",0,1,"",""
