"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ANCRMNCAHAntenatalCareRegistryANC.addressVillage","ANCRMNCAHAntenatalCareRegistryANC.addressVillage","","","",0,1,"","","","string {[]} {[]}
","Village of current address of the patient","Village of current address of the patient","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-tracked-entity-attributes-cs#D9DHLcCh5YX
",,,,"ANCRMNCAHAntenatalCareRegistryANC.addressVillage",0,1,"",""
"ANCRMNCAHAntenatalCareRegistryANC.fatherSName","ANCRMNCAHAntenatalCareRegistryANC.fatherSName","","","",0,1,"","","","string {[]} {[]}
","Father's name (in other countries, this may also refer to a woman's Maiden Names)","Father's name (in other countries, this may also refer to a woman's Maiden Names)","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-tracked-entity-attributes-cs#ZtQqOYot5ut
",,,,"ANCRMNCAHAntenatalCareRegistryANC.fatherSName",0,1,"",""
"ANCRMNCAHAntenatalCareRegistryANC.otherNames","ANCRMNCAHAntenatalCareRegistryANC.otherNames","","","",0,1,"","","","string {[]} {[]}
","Other names","Other names","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-tracked-entity-attributes-cs#ugxTfREw8iV
",,,,"ANCRMNCAHAntenatalCareRegistryANC.otherNames",0,1,"",""
"ANCRMNCAHAntenatalCareRegistryANC.smsMobileNumber","ANCRMNCAHAntenatalCareRegistryANC.smsMobileNumber","","","",0,1,"","","","string {[]} {[]}
","Client's SMS mobile phone number","Client's SMS mobile phone number","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-tracked-entity-attributes-cs#RJxLa3nITB3
",,,,"ANCRMNCAHAntenatalCareRegistryANC.smsMobileNumber",0,1,"",""
"ANCRMNCAHAntenatalCareRegistryANC.womanSProfileAndHistory","ANCRMNCAHAntenatalCareRegistryANC.womanSProfileAndHistory","","","",0,1,"","","","https://hispethiopia.org/enable/StructureDefinition/WomanSProfileAndHistory {[]} {[]}
","Woman's Profile and History","Woman's Profile and History","","","","","","","","","",,,,,"",,,,"ANCRMNCAHAntenatalCareRegistryANC.womanSProfileAndHistory",0,1,"",""
"ANCRMNCAHAntenatalCareRegistryANC.ancExamination","ANCRMNCAHAntenatalCareRegistryANC.ancExamination","","","",0,*,"","","","https://hispethiopia.org/enable/StructureDefinition/ANCExamination {[]} {[]}
","ANC Examination","ANC Examination","","","","","","","","","",,,,,"",,,,"ANCRMNCAHAntenatalCareRegistryANC.ancExamination",0,*,"",""
"ANCRMNCAHAntenatalCareRegistryANC.laboratoryTestsAndImaging","ANCRMNCAHAntenatalCareRegistryANC.laboratoryTestsAndImaging","","","",0,*,"","","","https://hispethiopia.org/enable/StructureDefinition/LaboratoryTestsAndImaging {[]} {[]}
","Information regarding various laboratory tests and  imaging conducted for diagnostic and curative services the current pregnancy ","Information regarding various laboratory tests and  imaging conducted for diagnostic and curative services the current pregnancy","","","","","","","","","",,,,,"",,,,"ANCRMNCAHAntenatalCareRegistryANC.laboratoryTestsAndImaging",0,*,"",""
"ANCRMNCAHAntenatalCareRegistryANC.promotionAndTreatment","ANCRMNCAHAntenatalCareRegistryANC.promotionAndTreatment","","","",0,*,"","","","https://hispethiopia.org/enable/StructureDefinition/PromotionAndTreatment {[]} {[]}
","Data elements for the counselling and treatment task of the workflow							","Data elements for the counselling and treatment task of the workflow","","","","","","","","","",,,,,"",,,,"ANCRMNCAHAntenatalCareRegistryANC.promotionAndTreatment",0,*,"",""
"ANCRMNCAHAntenatalCareRegistryANC.pregnancyOutcome","ANCRMNCAHAntenatalCareRegistryANC.pregnancyOutcome","","","",0,*,"","","","https://hispethiopia.org/enable/StructureDefinition/PregnancyOutcome {[]} {[]}
","Pregnancy outcome","Pregnancy outcome","","","","","","","","","",,,,,"",,,,"ANCRMNCAHAntenatalCareRegistryANC.pregnancyOutcome",0,*,"",""
"ANCRMNCAHAntenatalCareRegistryANC.postpartum","ANCRMNCAHAntenatalCareRegistryANC.postpartum","","","",0,*,"","","","https://hispethiopia.org/enable/StructureDefinition/Postpartum {[]} {[]}
","Postpartum","Postpartum","","","","","","","","","",,,,,"",,,,"ANCRMNCAHAntenatalCareRegistryANC.postpartum",0,*,"",""
