"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"PromotionAndTreatment","PromotionAndTreatment","","","",0,*,"","","","null {[]} {[]}
","Promotion and Treatment ","Data elements for the counselling and treatment task of the workflow							","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"PromotionAndTreatment.counsellingOnRiskOfGdm","PromotionAndTreatment.counsellingOnRiskOfGdm","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B10. Counselling on risk of gestational diabetes mellitus (GDM)","ANC - ANC.B10. Counselling on risk of gestational diabetes mellitus (GDM)","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#maAtPdJhov5
",,,,"PromotionAndTreatment.counsellingOnRiskOfGdm",0,1,"",""
"PromotionAndTreatment.simpleMalariaTreatmentProvided","PromotionAndTreatment.simpleMalariaTreatmentProvided","","","",0,1,"","","","boolean {[]} {[]}
","ANC - PAT. Simple Malaria Treatment Provided","ANC - PAT. Simple Malaria Treatment Provided","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#cwUiNQdsXCd
",,,,"PromotionAndTreatment.simpleMalariaTreatmentProvided",0,1,"",""
"PromotionAndTreatment.counsellingOnRiskOfPreEclampsia","PromotionAndTreatment.counsellingOnRiskOfPreEclampsia","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B10. Counselling on risk of pre-eclampsia","ANC - ANC.B10. Counselling on risk of pre-eclampsia","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#tSzje3cW2hQ
",,,,"PromotionAndTreatment.counsellingOnRiskOfPreEclampsia",0,1,"",""
"PromotionAndTreatment.folicAcidFaProvidedAtleast30Tablets","PromotionAndTreatment.folicAcidFaProvidedAtleast30Tablets","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B7. Folic acid (FA) provided. Atleast 30 tablets","ANC - ANC.B7. Folic acid (FA) provided. Atleast 30 tablets","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#pBclCe2kriA
",,,,"PromotionAndTreatment.folicAcidFaProvidedAtleast30Tablets",0,1,"",""
"PromotionAndTreatment.referHcivHsptlSevereAnaemiaHaemoglobin","PromotionAndTreatment.referHcivHsptlSevereAnaemiaHaemoglobin","","","",0,1,"","","","boolean {[]} {[]}
","ANC -  Refer to HCIV or Hospital for Severe Anaemia treatment due to haemoglobin","ANC -  Refer to HCIV or Hospital for Severe Anaemia treatment due to haemoglobin","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#BEcBoTxdJxW
",,,,"PromotionAndTreatment.referHcivHsptlSevereAnaemiaHaemoglobin",0,1,"",""
"PromotionAndTreatment.referHcivhsptlComplicatedMalariaTreatment","PromotionAndTreatment.referHcivhsptlComplicatedMalariaTreatment","","","",0,1,"","","","boolean {[]} {[]}
","ANC -  Refer to HCIV or Hospital for complicated malaria treatment","ANC -  Refer to HCIV or Hospital for complicated malaria treatment","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#HM1Gwr6X8M3
",,,,"PromotionAndTreatment.referHcivhsptlComplicatedMalariaTreatment",0,1,"",""
"PromotionAndTreatment.tetanusDiptheriaTd1ImmunizationProvided","PromotionAndTreatment.tetanusDiptheriaTd1ImmunizationProvided","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B10. Tetanus-Diptheria (TD) 1 immunization provided","ANC - ANC.B10. Tetanus-Diptheria (TD) 1 immunization provided","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#Euy7gjx9HQQ
",,,,"PromotionAndTreatment.tetanusDiptheriaTd1ImmunizationProvided",0,1,"",""
"PromotionAndTreatment.referToHcivhospitalForHepatitisBTreatment","PromotionAndTreatment.referToHcivhospitalForHepatitisBTreatment","","","",0,1,"","","","boolean {[]} {[]}
","ANC - Refer to HCIV or Hospital for Hepatitis B treatment","ANC - Refer to HCIV or Hospital for Hepatitis B treatment","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#g9g5XVMRMhg
",,,,"PromotionAndTreatment.referToHcivhospitalForHepatitisBTreatment",0,1,"",""
"PromotionAndTreatment.diabetesInPregnancyDiagnosis","PromotionAndTreatment.diabetesInPregnancyDiagnosis","","","",0,1,"","","","boolean {[]} {[]}
","ANC - PAT Diabetes in Pregnancy Diagnosis","ANC - PAT Diabetes in Pregnancy Diagnosis","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#gGcxEhV4uET
",,,,"PromotionAndTreatment.diabetesInPregnancyDiagnosis",0,1,"",""
"PromotionAndTreatment.referForFollowUpMedicationHyperglycemia","PromotionAndTreatment.referForFollowUpMedicationHyperglycemia","","","",0,1,"","","","boolean {[]} {[]}
","ANC - PAT Refer to HCIV or Hospital for follow-up and medication due to Hyperglycemia","ANC - PAT Refer to HCIV or Hospital for follow-up and medication due to Hyperglycemia","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#v2vCvy9JR71
",,,,"PromotionAndTreatment.referForFollowUpMedicationHyperglycemia",0,1,"",""
"PromotionAndTreatment.elevatedFastingBloodSugar","PromotionAndTreatment.elevatedFastingBloodSugar","","","",0,1,"","","","boolean {[]} {[]}
","ANC - PAT Elevated fasting blood sugar Diagnosis","ANC - PAT Elevated fasting blood sugar Diagnosis","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#ZJ1mIPM587W
",,,,"PromotionAndTreatment.elevatedFastingBloodSugar",0,1,"",""
"PromotionAndTreatment.referForTreatmentAndSupportToFindingsOfGbv","PromotionAndTreatment.referForTreatmentAndSupportToFindingsOfGbv","","","",0,1,"","","","boolean {[]} {[]}
","ANC - PAT Refer for treatment and support according to findings of GBV","ANC - PAT Refer for treatment and support according to findings of GBV","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#zKHV3Gf8lf0
",,,,"PromotionAndTreatment.referForTreatmentAndSupportToFindingsOfGbv",0,1,"",""
"PromotionAndTreatment.syphilisTreatmentProvided","PromotionAndTreatment.syphilisTreatmentProvided","","","",0,1,"","","","boolean {[]} {[]}
","ANC - PAT Syphilis Treatment Provided","ANC - PAT Syphilis Treatment Provided","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#XH5mvacs4fh
",,,,"PromotionAndTreatment.syphilisTreatmentProvided",0,1,"",""
"PromotionAndTreatment.tetanusDiptheriaTd2ImmunizationDate","PromotionAndTreatment.tetanusDiptheriaTd2ImmunizationDate","","","",0,1,"","","","date {[]} {[]}
","ANC - ANC.B10. Tetanus-Diptheria (TD) 2 immunization Date","ANC - ANC.B10. Tetanus-Diptheria (TD) 2 immunization Date","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#cLaqvVnoNQW
",,,,"PromotionAndTreatment.tetanusDiptheriaTd2ImmunizationDate",0,1,"",""
"PromotionAndTreatment.tetanusDiptheriaTd2ImmunizationProvided","PromotionAndTreatment.tetanusDiptheriaTd2ImmunizationProvided","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B10. Tetanus-Diptheria (TD) 2 immunization provided","ANC - ANC.B10. Tetanus-Diptheria (TD) 2 immunization provided","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#QljEpD4ZXqQ
",,,,"PromotionAndTreatment.tetanusDiptheriaTd2ImmunizationProvided",0,1,"",""
"PromotionAndTreatment.counsellingOnHospDeliveryPrevAssistDelivery","PromotionAndTreatment.counsellingOnHospDeliveryPrevAssistDelivery","","","",0,1,"","","","boolean {[]} {[]}
","ANC - PAM Counselling on hospital delivery due to previous assisted delivery","ANC - PAM Counselling on hospital delivery due to previous assisted delivery","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#LwXs0S8eD64
",,,,"PromotionAndTreatment.counsellingOnHospDeliveryPrevAssistDelivery",0,1,"",""
"PromotionAndTreatment.counsellingOnRiskOfEclampsia","PromotionAndTreatment.counsellingOnRiskOfEclampsia","","","",0,1,"","","","boolean {[]} {[]}
","ANC - PAT Counselling on risk of eclampsia","ANC - PAT Counselling on risk of eclampsia","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#vcFw7qq0EyN
",,,,"PromotionAndTreatment.counsellingOnRiskOfEclampsia",0,1,"",""
"PromotionAndTreatment.counsellingPreviousPerinealTear34thDegree","PromotionAndTreatment.counsellingPreviousPerinealTear34thDegree","","","",0,1,"","","","boolean {[]} {[]}
","ANC - PAT Counselling on hospital delivery due to previous perineal tear (3rd or 4th degree) ","ANC - PAT Counselling on hospital delivery due to previous perineal tear (3rd or 4th degree)","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#RmYIDSTh06Y
",,,,"PromotionAndTreatment.counsellingPreviousPerinealTear34thDegree",0,1,"",""
"PromotionAndTreatment.counsellingDueToPreviousNeonatalDeath","PromotionAndTreatment.counsellingDueToPreviousNeonatalDeath","","","",0,1,"","","","boolean {[]} {[]}
","ANC - PAT Counselling on hospital delivery due to previous neonatal death","ANC - PAT Counselling on hospital delivery due to previous neonatal death","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#LWDjK29CquZ
",,,,"PromotionAndTreatment.counsellingDueToPreviousNeonatalDeath",0,1,"",""
"PromotionAndTreatment.patReferToCemoncFacilityForLabour","PromotionAndTreatment.patReferToCemoncFacilityForLabour","","","",0,1,"","","","boolean {[]} {[]}
","ANC - PAT Refer to CEMONC facility for labour","ANC - PAT Refer to CEMONC facility for labour","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#ID6RhUJutpq
",,,,"PromotionAndTreatment.patReferToCemoncFacilityForLabour",0,1,"",""
"PromotionAndTreatment.kidneyDiseaseChronicRenalFailureDiagnosis","PromotionAndTreatment.kidneyDiseaseChronicRenalFailureDiagnosis","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC Kidney disease (Chronic Renal Failure) Diagnosis","ANC - ANC Kidney disease (Chronic Renal Failure) Diagnosis","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#CuCWAVnu94F
",,,,"PromotionAndTreatment.kidneyDiseaseChronicRenalFailureDiagnosis",0,1,"",""
"PromotionAndTreatment.counsellingConductedOnAnaemia","PromotionAndTreatment.counsellingConductedOnAnaemia","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B10. Counselling conducted on anaemia","ANC - ANC.B10. Counselling conducted on anaemia","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#nskowTcgnS3
",,,,"PromotionAndTreatment.counsellingConductedOnAnaemia",0,1,"",""
"PromotionAndTreatment.counselIncreasedRiskDevPreEclampsiaDueCrf","PromotionAndTreatment.counselIncreasedRiskDevPreEclampsiaDueCrf","","","",0,1,"","","","boolean {[]} {[]}
","ANC - PAT Counsel on the increased risk of developing pre-eclampsia due to CRF","ANC - PAT Counsel on the increased risk of developing pre-eclampsia due to CRF","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#HDQ8F5bQ5GB
",,,,"PromotionAndTreatment.counselIncreasedRiskDevPreEclampsiaDueCrf",0,1,"",""
"PromotionAndTreatment.counsellingConductedOnDiabetesMellitusDm","PromotionAndTreatment.counsellingConductedOnDiabetesMellitusDm","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B10. Counselling conducted on diabetes mellitus (DM)","ANC - ANC.B10. Counselling conducted on diabetes mellitus (DM)","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#ZgVJiTpBIAa
",,,,"PromotionAndTreatment.counsellingConductedOnDiabetesMellitusDm",0,1,"",""
"PromotionAndTreatment.cardiacConditionDiagnosis","PromotionAndTreatment.cardiacConditionDiagnosis","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC Cardiac condition Diagnosis","ANC - ANC Cardiac condition Diagnosis","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#GKRmoIpVWBV
",,,,"PromotionAndTreatment.cardiacConditionDiagnosis",0,1,"",""
"PromotionAndTreatment.chronicAsthmaDiagnosis","PromotionAndTreatment.chronicAsthmaDiagnosis","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC Chronic asthma Diagnosis","ANC - ANC Chronic asthma Diagnosis","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#Lzfcin802uv
",,,,"PromotionAndTreatment.chronicAsthmaDiagnosis",0,1,"",""
"PromotionAndTreatment.counsellingConductedOnGestationalDiabetesMell","PromotionAndTreatment.counsellingConductedOnGestationalDiabetesMell","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B10. Counselling conducted on gestational diabetes mellitus (GDM)","ANC - ANC.B10. Counselling conducted on gestational diabetes mellitus (GDM)","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#hnUK7METcNT
",,,,"PromotionAndTreatment.counsellingConductedOnGestationalDiabetesMell",0,1,"",""
"PromotionAndTreatment.thrombocytopeniaDiagnosis","PromotionAndTreatment.thrombocytopeniaDiagnosis","","","",0,1,"","","","boolean {[]} {[]}
","ANC - PAM Thrombocytopenia Diagnosis","ANC - PAM Thrombocytopenia Diagnosis","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#kpNsJv2MJgQ
",,,,"PromotionAndTreatment.thrombocytopeniaDiagnosis",0,1,"",""
"PromotionAndTreatment.counsellingConductedOnHepatitisBPositive","PromotionAndTreatment.counsellingConductedOnHepatitisBPositive","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B10. Counselling conducted on hepatitis B positive","ANC - ANC.B10. Counselling conducted on hepatitis B positive","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#FlYho8YA6gK
",,,,"PromotionAndTreatment.counsellingConductedOnHepatitisBPositive",0,1,"",""
"PromotionAndTreatment.referForFollowupOfElevatedFastingBloodSugar","PromotionAndTreatment.referForFollowupOfElevatedFastingBloodSugar","","","",0,1,"","","","boolean {[]} {[]}
","ANC - PAT Refer to HC IV/Hospital for follow-up of elevated fasting blood sugar","ANC - PAT Refer to HC IV/Hospital for follow-up of elevated fasting blood sugar","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#CceCy8lgwJr
",,,,"PromotionAndTreatment.referForFollowupOfElevatedFastingBloodSugar",0,1,"",""
"PromotionAndTreatment.referHcivHospDueToNoFetalHeartBeatPresent","PromotionAndTreatment.referHcivHospDueToNoFetalHeartBeatPresent","","","",0,1,"","","","boolean {[]} {[]}
","ANC - PAT Refer to HCIV or Hospital due to no Fetal Heart beat present","ANC - PAT Refer to HCIV or Hospital due to no Fetal Heart beat present","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#ONaCQGKKt0u
",,,,"PromotionAndTreatment.referHcivHospDueToNoFetalHeartBeatPresent",0,1,"",""
"PromotionAndTreatment.counsellingConductedOnHivPositive","PromotionAndTreatment.counsellingConductedOnHivPositive","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B10. Counselling conducted on HIV positive","ANC - ANC.B10. Counselling conducted on HIV positive","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#zO1T2OyE5nV
",,,,"PromotionAndTreatment.counsellingConductedOnHivPositive",0,1,"",""
"PromotionAndTreatment.referToHfForFollowupOfElevatedRandomBsugar","PromotionAndTreatment.referToHfForFollowupOfElevatedRandomBsugar","","","",0,1,"","","","boolean {[]} {[]}
","ANC - Refer to HC IV/Hospital for follow-up of elevated random blood sugar","ANC - Refer to HC IV/Hospital for follow-up of elevated random blood sugar","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#pdogMM7UXWz
",,,,"PromotionAndTreatment.referToHfForFollowupOfElevatedRandomBsugar",0,1,"",""
"PromotionAndTreatment.counsellingConductedOnHypertension","PromotionAndTreatment.counsellingConductedOnHypertension","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B10. Counselling conducted on hypertension","ANC - ANC.B10. Counselling conducted on hypertension","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#msP5WbYKajH
",,,,"PromotionAndTreatment.counsellingConductedOnHypertension",0,1,"",""
"PromotionAndTreatment.counsellingConductedOnTbScreeningPositive","PromotionAndTreatment.counsellingConductedOnTbScreeningPositive","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B10. Counselling conducted on TB screening positive","ANC - ANC.B10. Counselling conducted on TB screening positive","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#Llteev2Flio
",,,,"PromotionAndTreatment.counsellingConductedOnTbScreeningPositive",0,1,"",""
"PromotionAndTreatment.sickleCellScreeningFolicAcid5mgDaily","PromotionAndTreatment.sickleCellScreeningFolicAcid5mgDaily","","","",0,1,"","","","boolean {[]} {[]}
","ANC - PAM Sickle cell screening Folic acid 5mg/daily","ANC - PAM Sickle cell screening Folic acid 5mg/daily","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#sWoYKdJWtLO
",,,,"PromotionAndTreatment.sickleCellScreeningFolicAcid5mgDaily",0,1,"",""
"PromotionAndTreatment.counsellingOnAlcoholUse","PromotionAndTreatment.counsellingOnAlcoholUse","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B10. Counselling on alcohol use","ANC - ANC.B10. Counselling on alcohol use","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#qMWTQTWNm0K
",,,,"PromotionAndTreatment.counsellingOnAlcoholUse",0,1,"",""
"PromotionAndTreatment.referToASickleCellClinicIfNotYetReg","PromotionAndTreatment.referToASickleCellClinicIfNotYetReg","","","",0,1,"","","","boolean {[]} {[]}
","ANC - PAM Sickle cell screening Refer to a sickle-cell clinic, if not yet registered","ANC - PAM Sickle cell screening Refer to a sickle-cell clinic, if not yet registered","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#M7xOHyaG1XR
",,,,"PromotionAndTreatment.referToASickleCellClinicIfNotYetReg",0,1,"",""
"PromotionAndTreatment.counselBasedOnFindingsMonitorHbEveryVisit","PromotionAndTreatment.counselBasedOnFindingsMonitorHbEveryVisit","","","",0,1,"","","","boolean {[]} {[]}
","ANC - PAM Counselling on Sickle cell screening based on findings; monitor Hb at every visit","ANC - PAM Counselling on Sickle cell screening based on findings; monitor Hb at every visit","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#YOjc3CiFMku
",,,,"PromotionAndTreatment.counselBasedOnFindingsMonitorHbEveryVisit",0,1,"",""
"PromotionAndTreatment.admitToHospitalForSsIfComplicationsDevelop","PromotionAndTreatment.admitToHospitalForSsIfComplicationsDevelop","","","",0,1,"","","","boolean {[]} {[]}
","ANC - PAM Sickle cell screening Admit to hospital if complications develop","ANC - PAM Sickle cell screening Admit to hospital if complications develop","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#YU9wbp4XiOO
",,,,"PromotionAndTreatment.admitToHospitalForSsIfComplicationsDevelop",0,1,"",""
"PromotionAndTreatment.counsellingOnCondomUse","PromotionAndTreatment.counsellingOnCondomUse","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B10. Counselling on condom use","ANC - ANC.B10. Counselling on condom use","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#YFu1oMAst5N
",,,,"PromotionAndTreatment.counsellingOnCondomUse",0,1,"",""
"PromotionAndTreatment.hepatitisB2ImmunizationDate","PromotionAndTreatment.hepatitisB2ImmunizationDate","","","",0,1,"","","","date {[]} {[]}
","ANC - ANC.B10. Hepatitis B-2 immunization Date","ANC - ANC.B10. Hepatitis B-2 immunization Date","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#EcAoMGJs9BB
",,,,"PromotionAndTreatment.hepatitisB2ImmunizationDate",0,1,"",""
"PromotionAndTreatment.iptpCtxDoseProvided","PromotionAndTreatment.iptpCtxDoseProvided","","","",0,1,"","","","code {[]} {[]}
","ANC - ANC.B10a. IPTp-CTX dose provided","ANC - ANC.B10a. IPTp-CTX dose provided","","","","","","","","","",,"required","","https://hispethiopia.org/enable/ValueSet/IptpDose112VS","https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#sw43UG2v6Wk
",,,,"PromotionAndTreatment.iptpCtxDoseProvided",0,1,"",""
"PromotionAndTreatment.dateIptpCtxDoseWasProvided","PromotionAndTreatment.dateIptpCtxDoseWasProvided","","","",0,1,"","","","date {[]} {[]}
","ANC - ANC.B10a. Date IPTp-CTX dose was provided","ANC - ANC.B10a. Date IPTp-CTX dose was provided","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#Jnlp0lDaPSe
",,,,"PromotionAndTreatment.dateIptpCtxDoseWasProvided",0,1,"",""
