"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ANCRegistry.educationLevel","ANCRegistry.educationLevel","","","",0,1,"","","","code {[]} {[]}
","Education level","Education level","","","","","","","","","",,"required","","https://hispethiopia.org/enable/ValueSet/ANC.B6.EducationLevelVS","https://hispethiopia.org/enable/CodeSystem/dhis2-tracked-entity-attributes-cs#rLeZyocx3Zg
",,,,"ANCRegistry.educationLevel",0,1,"",""
"ANCRegistry.specifyOtherEducationLevel","ANCRegistry.specifyOtherEducationLevel","","","",0,1,"","","","string {[]} {[]}
","Specify other education level","Specify other education level","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-tracked-entity-attributes-cs#oZTIMpuQN3Z
",,,,"ANCRegistry.specifyOtherEducationLevel",0,1,"",""
"ANCRegistry.maritalStatus","ANCRegistry.maritalStatus","","","",0,1,"","","","code {[]} {[]}
","Marital Status","Marital Status","","","","","","","","","",,"required","","https://hispethiopia.org/enable/ValueSet/MaritalStatusVS","https://hispethiopia.org/enable/CodeSystem/dhis2-tracked-entity-attributes-cs#wW9OmWfCBnx
",,,,"ANCRegistry.maritalStatus",0,1,"",""
"ANCRegistry.addressDistrict","ANCRegistry.addressDistrict","","","",0,1,"","","","string {[]} {[]}
","District of current address of the patient or case.","District of current address of the patient or case.","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-tracked-entity-attributes-cs#A6Hb0Kvg4vb
",,,,"ANCRegistry.addressDistrict",0,1,"",""
"ANCRegistry.addressParish","ANCRegistry.addressParish","","","",0,1,"","","","string {[]} {[]}
","Kebele of current address of the patient","Kebele of current address of the patient","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-tracked-entity-attributes-cs#fzCzJ1yJaoR
",,,,"ANCRegistry.addressParish",0,1,"",""
"ANCRegistry.addressVillage","ANCRegistry.addressVillage","","","",0,1,"","","","string {[]} {[]}
","Village of current address of the patient","Village of current address of the patient","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-tracked-entity-attributes-cs#D9DHLcCh5YX
",,,,"ANCRegistry.addressVillage",0,1,"",""
"ANCRegistry.fathersName","ANCRegistry.fathersName","","","",0,1,"","","","string {[]} {[]}
","Father's name (in other countries, this may also refer to a woman's Maiden Names)","Father's name (in other countries, this may also refer to a woman's Maiden Names)","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-tracked-entity-attributes-cs#ZtQqOYot5ut
",,,,"ANCRegistry.fathersName",0,1,"",""
"ANCRegistry.otherNames","ANCRegistry.otherNames","","","",0,1,"","","","string {[]} {[]}
","Other names","Other names","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-tracked-entity-attributes-cs#ugxTfREw8iV
",,,,"ANCRegistry.otherNames",0,1,"",""
"ANCRegistry.smsMobileNumber","ANCRegistry.smsMobileNumber","","","",0,1,"","","","string {[]} {[]}
","Client's SMS mobile phone number","Client's SMS mobile phone number","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-tracked-entity-attributes-cs#RJxLa3nITB3
",,,,"ANCRegistry.smsMobileNumber",0,1,"",""
"ANCRegistry.womanSProfileAndHistory","ANCRegistry.womanSProfileAndHistory","","","",0,1,"","","","https://hispethiopia.org/enable/StructureDefinition/WomanSProfileAndHistory {[]} {[]}
","Woman's Profile and History","Woman's Profile and History","","","","","","","","","",,,,,"",,,,"ANCRegistry.womanSProfileAndHistory",0,1,"",""
"ANCRegistry.ancExamination","ANCRegistry.ancExamination","","","",0,*,"","","","https://hispethiopia.org/enable/StructureDefinition/ANCExamination {[]} {[]}
","ANC Examination","ANC Examination","","","","","","","","","",,,,,"",,,,"ANCRegistry.ancExamination",0,*,"",""
"ANCRegistry.laboratoryTestsAndImaging","ANCRegistry.laboratoryTestsAndImaging","","","",0,*,"","","","https://hispethiopia.org/enable/StructureDefinition/LaboratoryTestsAndImaging {[]} {[]}
","Information regarding various laboratory tests and  imaging conducted for diagnostic and curative services the current pregnancy ","Information regarding various laboratory tests and  imaging conducted for diagnostic and curative services the current pregnancy","","","","","","","","","",,,,,"",,,,"ANCRegistry.laboratoryTestsAndImaging",0,*,"",""
"ANCRegistry.promotionAndTreatment","ANCRegistry.promotionAndTreatment","","","",0,*,"","","","https://hispethiopia.org/enable/StructureDefinition/PromotionAndTreatment {[]} {[]}
","Data elements for the counselling and treatment task of the workflow							","Data elements for the counselling and treatment task of the workflow","","","","","","","","","",,,,,"",,,,"ANCRegistry.promotionAndTreatment",0,*,"",""
"ANCRegistry.pregnancyOutcome","ANCRegistry.pregnancyOutcome","","","",0,*,"","","","https://hispethiopia.org/enable/StructureDefinition/PregnancyOutcome {[]} {[]}
","Pregnancy outcome","Pregnancy outcome","","","","","","","","","",,,,,"",,,,"ANCRegistry.pregnancyOutcome",0,*,"",""
"ANCRegistry.postpartum","ANCRegistry.postpartum","","","",0,*,"","","","https://hispethiopia.org/enable/StructureDefinition/Postpartum {[]} {[]}
","Postpartum","Postpartum","","","","","","","","","",,,,,"",,,,"ANCRegistry.postpartum",0,*,"",""
